"eindPeriode", "http://nl.dbpedia.org/property/eindPeriode"
"opvolger", "http://nl.dbpedia.org/property/opvolger"
"president", "http://nl.dbpedia.org/property/president"
"gestorven", "http://nl.dbpedia.org/property/gestorven"
"naam", "http://nl.dbpedia.org/property/naam"
"volledigeNaam", "http://nl.dbpedia.org/property/volledigeNaam"
"genre", "http://nl.dbpedia.org/property/genre"
"beursindex", "http://nl.dbpedia.org/property/beursindex"
"startwaarde", "http://nl.dbpedia.org/property/startwaarde"
"actueleStand", "http://nl.dbpedia.org/property/actueleStand"
"locatie", "http://nl.dbpedia.org/property/locatie"
"herweging", "http://nl.dbpedia.org/property/herweging"
"hoofdfondsen", "http://nl.dbpedia.org/property/hoofdfondsen"
"jaar", "http://nl.dbpedia.org/property/jaar"
"invloed", "http://nl.dbpedia.org/property/invloed"
"km", "http://nl.dbpedia.org/property/km"
"onderschrift", "http://nl.dbpedia.org/property/onderschrift"
"oorsprong", "http://nl.dbpedia.org/property/oorsprong"
"afstandtot", "http://nl.dbpedia.org/property/afstandtot"
"rijk", "http://nl.dbpedia.org/property/rijk"
"klasse", "http://nl.dbpedia.org/property/klasse"
"auteur", "http://nl.dbpedia.org/property/auteur"
"geboortedatum", "http://nl.dbpedia.org/property/geboortedatum"
"gewicht", "http://nl.dbpedia.org/property/gewicht"
"prijzengeld", "http://nl.dbpedia.org/property/prijzengeld"
"rolandGarros", "http://nl.dbpedia.org/property/rolandGarros"
"dubbelrecord", "http://nl.dbpedia.org/property/dubbelrecord"
"hoofdstad", "http://nl.dbpedia.org/property/hoofdstad"
"staatshoofd", "http://nl.dbpedia.org/property/staatshoofd"
"levensverwachtingVrouw", "http://nl.dbpedia.org/property/levensverwachtingVrouw"
"voor", "http://nl.dbpedia.org/property/voor"
"tijdvak", "http://nl.dbpedia.org/property/tijdvak"
"lijst", "http://nl.dbpedia.org/property/lijst"
"vorige", "http://nl.dbpedia.org/property/vorige"
"oppervlakte", "http://nl.dbpedia.org/property/oppervlakte"
"latDeg", "http://nl.dbpedia.org/property/latDeg"
"latMin", "http://nl.dbpedia.org/property/latMin"
"lonDeg", "http://nl.dbpedia.org/property/lonDeg"
"lonMin", "http://nl.dbpedia.org/property/lonMin"
"lonDir", "http://nl.dbpedia.org/property/lonDir"
"afbeeldingonderschrift", "http://nl.dbpedia.org/property/afbeeldingonderschrift"
"portaal", "http://nl.dbpedia.org/property/portaal"
"station", "http://nl.dbpedia.org/property/station"
"organisatie", "http://nl.dbpedia.org/property/organisatie"
"start", "http://nl.dbpedia.org/property/start"
"kampioenschappen", "http://nl.dbpedia.org/property/kampioenschappen"
"ontstaansdatum", "http://nl.dbpedia.org/property/ontstaansdatum"
"europeesLidmaatschap", "http://nl.dbpedia.org/property/europeesLidmaatschap"
"naaminregionaletaal", "http://nl.dbpedia.org/property/naaminregionaletaal"
"embleem", "http://nl.dbpedia.org/property/embleem"
"bestuurscentrum", "http://nl.dbpedia.org/property/bestuurscentrum"
"lidmaatschap", "http://nl.dbpedia.org/property/lidmaatschap"
"leiderstype", "http://nl.dbpedia.org/property/leiderstype"
"volledigenaam", "http://nl.dbpedia.org/property/volledigenaam"
"sterfdatum", "http://nl.dbpedia.org/property/sterfdatum"
"beroep", "http://nl.dbpedia.org/property/beroep"
"organisator", "http://nl.dbpedia.org/property/organisator"
"discipline", "http://nl.dbpedia.org/property/discipline"
"laatsteNedwinnaar", "http://nl.dbpedia.org/property/laatsteNedwinnaar"
"afbeeldinggrootte", "http://nl.dbpedia.org/property/afbeeldinggrootte"
"opvolging", "http://nl.dbpedia.org/property/opvolging"
"gestorvenIn", "http://nl.dbpedia.org/property/gestorvenIn"
"moeder", "http://nl.dbpedia.org/property/moeder"
"blok", "http://nl.dbpedia.org/property/blok"
"smeltwarmte", "http://nl.dbpedia.org/property/smeltwarmte"
"geluidssnelheid", "http://nl.dbpedia.org/property/geluidssnelheid"
"warmtegeleiding", "http://nl.dbpedia.org/property/warmtegeleiding"
"geboortenaam", "http://nl.dbpedia.org/property/geboortenaam"
"broerVan", "http://nl.dbpedia.org/property/broerVan"
"aZ", "http://nl.dbpedia.org/property/aZ"
"width", "http://nl.dbpedia.org/property/width"
"olympischeSpelen", "http://nl.dbpedia.org/property/olympischeSpelen"
"olympischeDubbel", "http://nl.dbpedia.org/property/olympischeDubbel"
"rolandGarrosDubbel", "http://nl.dbpedia.org/property/rolandGarrosDubbel"
"usopenDubbel", "http://nl.dbpedia.org/property/usopenDubbel"
"census", "http://nl.dbpedia.org/property/census"
"classificatie", "http://nl.dbpedia.org/property/classificatie"
"artikelen", "http://nl.dbpedia.org/property/artikelen"
"hardheid", "http://nl.dbpedia.org/property/hardheid"
"weerstand", "http://nl.dbpedia.org/property/weerstand"
"naamInLandstaal", "http://nl.dbpedia.org/property/naamInLandstaal"
"vlagNa", "http://nl.dbpedia.org/property/vlagNa"
"bevolking", "http://nl.dbpedia.org/property/bevolking"
"inschrijving", "http://nl.dbpedia.org/property/inschrijving"
"unescoVolgnr.", "http://nl.dbpedia.org/property/unescoVolgnr."
"alcoholpct", "http://nl.dbpedia.org/property/alcoholpct"
"brouwer", "http://nl.dbpedia.org/property/brouwer"
"eiland", "http://nl.dbpedia.org/property/eiland"
"partijleider", "http://nl.dbpedia.org/property/partijleider"
"zetelsek", "http://nl.dbpedia.org/property/zetelsek"
"zetelstotaalep", "http://nl.dbpedia.org/property/zetelstotaalep"
"wetenschappelijkbureau", "http://nl.dbpedia.org/property/wetenschappelijkbureau"
"updated", "http://nl.dbpedia.org/property/updated"
"pinyin", "http://nl.dbpedia.org/property/pinyin"
"bezoekersJaar", "http://nl.dbpedia.org/property/bezoekersJaar"
"image", "http://nl.dbpedia.org/property/image"
"licentie", "http://nl.dbpedia.org/property/licentie"
"staatinlandstaal", "http://nl.dbpedia.org/property/staatinlandstaal"
"zegelartikel", "http://nl.dbpedia.org/property/zegelartikel"
"oplage", "http://nl.dbpedia.org/property/oplage"
"laatsteEditie", "http://nl.dbpedia.org/property/laatsteEditie"
"volgorde", "http://nl.dbpedia.org/property/volgorde"
"vicepresident", "http://nl.dbpedia.org/property/vicepresident"
"commissarisVanKoningin", "http://nl.dbpedia.org/property/commissarisVanKoningin"
"producer", "http://nl.dbpedia.org/property/producer"
"onafhankelijkSinds", "http://nl.dbpedia.org/property/onafhankelijkSinds"
"onderfamilie", "http://nl.dbpedia.org/property/onderfamilie"
"winact", "http://nl.dbpedia.org/property/winact"
"wappen", "http://nl.dbpedia.org/property/wappen"
"landkreis", "http://nl.dbpedia.org/property/landkreis"
"plz", "http://nl.dbpedia.org/property/plz"
"kfz", "http://nl.dbpedia.org/property/kfz"
"bürgermeister", "http://nl.dbpedia.org/property/bürgermeister"
"isocode", "http://nl.dbpedia.org/property/isocode"
"departementnummer", "http://nl.dbpedia.org/property/departementnummer"
"affiliatie", "http://nl.dbpedia.org/property/affiliatie"
"rijders", "http://nl.dbpedia.org/property/rijders"
"motoren", "http://nl.dbpedia.org/property/motoren"
"huidigSeizoen", "http://nl.dbpedia.org/property/huidigSeizoen"
"logo", "http://nl.dbpedia.org/property/logo"
"stadion", "http://nl.dbpedia.org/property/stadion"
"trainer", "http://nl.dbpedia.org/property/trainer"
"patternB", "http://nl.dbpedia.org/property/patternB"
"rightarm", "http://nl.dbpedia.org/property/rightarm"
"geldig", "http://nl.dbpedia.org/property/geldig"
"werk", "http://nl.dbpedia.org/property/werk"
"instrument", "http://nl.dbpedia.org/property/instrument"
"acts", "http://nl.dbpedia.org/property/acts"
"formatie", "http://nl.dbpedia.org/property/formatie"
"pctnaam", "http://nl.dbpedia.org/property/pctnaam"
"monumentstatus", "http://nl.dbpedia.org/property/monumentstatus"
"status", "http://nl.dbpedia.org/property/status"
"anderPortaal", "http://nl.dbpedia.org/property/anderPortaal"
"onderscheidingen", "http://nl.dbpedia.org/property/onderscheidingen"
